ParticipantID,Part,FilterOrder,VarianceOrder,PairNumber,PairVariance_px,PairVariance_pct,PairDescription,FilterType,FilterRank,FilterVariance_px,FilterLatency,TargetSize,Amplitude,NCompleted,NTotal,NTimedOutInProgress,NTimedOutNotAttempted,CompletionRate,MeanMT,Ae,We,IDe,TP,MeanReEntries
P10,Part A,oneEuro,Med → High → Low,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",oneEuro,interp,7.9506,528.80,82.30000000000001,349.775,8,8,0,0,1.0000,3.3752,627.7296,29.4798,4.4786,1.3269,0.50
P10,Part A,oneEuro,Med → High → Low,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",oneEuro,interp,7.9506,528.80,49.379999999999995,366.23499999999996,8,8,0,0,1.0000,3.4416,660.3990,28.7644,4.5825,1.3315,0.38
P10,Part A,oneEuro,Med → High → Low,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",exponential,interp,7.9506,1209.54,82.30000000000001,349.775,8,8,0,0,1.0000,4.2262,629.9654,76.0442,3.2148,0.7607,1.38
P10,Part A,oneEuro,Med → High → Low,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",exponential,interp,7.9506,1209.54,49.379999999999995,366.23499999999996,8,8,0,0,1.0000,6.1704,665.0955,48.9596,3.8664,0.6266,1.50
P10,Part A,oneEuro,Med → High → Low,3,14.27397707358493,1.7344,"High SD (~14.3) - Interpolated",oneEuro,interp,14.2740,103.93,82.30000000000001,349.775,8,8,0,0,1.0000,3.7073,631.1171,49.5156,3.7809,1.0199,0.63
P10,Part A,oneEuro,Med → High → Low,3,14.27397707358493,1.7344,"High SD (~14.3) - Interpolated",oneEuro,interp,14.2740,103.93,49.379999999999995,366.23499999999996,8,8,0,0,1.0000,4.3270,661.2800,44.6849,3.9817,0.9202,1.38
P10,Part A,oneEuro,Med → High → Low,3,14.27397707358493,1.7344,"High SD (~14.3) - Interpolated",exponential,interp,14.2740,156.73,82.30000000000001,349.775,8,8,0,0,1.0000,3.3045,630.7548,35.1550,4.2435,1.2841,0.50
P10,Part A,oneEuro,Med → High → Low,3,14.27397707358493,1.7344,"High SD (~14.3) - Interpolated",exponential,interp,14.2740,156.73,49.379999999999995,366.23499999999996,8,8,0,0,1.0000,3.6768,659.7821,31.2561,4.4666,1.2148,0.88
P10,Part A,oneEuro,Med → High → Low,1,1.627266494627252,0.1977,"Low SD (~1.6) - Interpolated",oneEuro,interp,1.6273,1368.06,82.30000000000001,349.775,8,8,0,0,1.0000,3.9991,627.6220,51.8168,3.7129,0.9284,0.75
P10,Part A,oneEuro,Med → High → Low,1,1.627266494627252,0.1977,"Low SD (~1.6) - Interpolated",oneEuro,interp,1.6273,1368.06,49.379999999999995,366.23499999999996,8,8,0,0,1.0000,4.7413,664.0261,36.8456,4.2496,0.8963,0.88
P10,Part A,oneEuro,Med → High → Low,1,1.627266494627252,0.1977,"Low SD (~1.6) - Interpolated",exponential,interp,1.6273,2252.36,82.30000000000001,349.775,8,8,0,0,1.0000,4.0793,641.5113,86.7293,3.0698,0.7525,0.13
P10,Part A,oneEuro,Med → High → Low,1,1.627266494627252,0.1977,"Low SD (~1.6) - Interpolated",exponential,interp,1.6273,2252.36,49.379999999999995,366.23499999999996,8,8,0,0,1.0000,5.0155,667.3607,36.8989,4.2545,0.8483,0.50
